City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,tazovsky,67.4667,78.7,-3.93,88,84,5.2,RU,1746854121
316,twon-brass,4.3151,6.2418,27.46,72,80,1.43,NG,1746854122
317,gaiman,-43.2897,-65.4929,7.11,57,66,3.84,AR,1746854123
318,springs,-26.25,28.4,11.48,40,0,2.06,ZA,1746854124
319,saint helier,49.188,-2.1049,12.14,78,0,5.14,JE,1746854126
320,necochea,-38.5473,-58.7368,12.09,62,100,5.39,AR,1746854127
321,sao paulo de olivenca,-3.3783,-68.8725,22.42,98,59,0.74,BR,1746854128
322,yibin,28.7667,104.6238,16.14,83,100,2.19,CN,1746854091
323,bonham,33.5773,-96.1783,16.9,89,30,3.17,US,1746854130
324,nova vicosa,-17.8919,-39.3719,23.12,93,5,1.56,BR,1746854131
325,cockburn town,21.4612,-71.1419,24.99,76,0,6.15,TC,1746854132
326,salur,18.5333,83.2167,36.48,31,8,2.81,IN,1746854133
327,chadron,42.8294,-102.9999,12.14,67,0,0.0,US,1746854134
328,namibe,-15.1961,12.1522,23.75,75,0,0.22,AO,1746854137
329,mizdah,31.4451,12.9801,20.87,43,90,2.0,LY,1746854138
330,udomlya,57.8794,34.9925,2.21,98,100,2.74,RU,1746854139
331,tofol,5.3248,163.0078,28.88,79,75,5.14,FM,1746854140
332,kayangel,8.0823,134.7173,28.93,77,66,5.86,PW,1746854141
333,sinop,41.7711,34.8709,13.73,90,97,1.13,TR,1746854142
334,yamada,39.4667,141.95,13.56,98,100,3.63,JP,1746854143
335,xingtai,37.0631,114.4942,24.09,18,95,6.63,CN,1746854144
336,port augusta,-32.5,137.7667,23.88,24,0,2.77,AU,1746854145
337,kyosai,34.8503,128.5886,14.91,76,80,11.46,KR,1746854147
338,haapsalu,58.9431,23.5414,5.57,70,0,1.51,EE,1746854148
339,port antonio,18.18,-76.4612,25.59,89,25,3.32,JM,1746854149
340,liaozhong,41.5061,122.7242,23.14,20,95,9.33,CN,1746854150
341,masterton,-40.9597,175.6575,11.2,77,1,1.33,NZ,1746854151
342,tura,25.5198,90.2201,37.01,25,1,2.9,IN,1746854152
343,mehtar lam,34.6714,70.2094,28.62,36,0,1.68,AF,1746854153
344,teknaf,20.8624,92.3058,32.32,63,2,4.43,BD,1746854154
345,hunt valley,39.4998,-76.6411,9.71,88,1,4.2,US,1746854155
346,horta,38.5333,-28.6333,14.45,78,3,3.13,PT,1746854156
347,hindupur,13.8289,77.4933,30.89,45,5,1.38,IN,1746854157
348,jiuquan,39.7432,98.5174,23.24,7,0,4.54,CN,1746854159
349,berdigestyakh,62.0989,126.6992,13.05,33,98,6.35,RU,1746854160
350,sao vicente,-23.9631,-46.3919,27.77,26,37,3.29,BR,1746854161
351,nizao,18.25,-70.2,26.7,88,0,5.35,DO,1746854162
352,port douglas,-16.4833,145.4667,24.68,85,61,7.78,AU,1746854163
353,mananjary,-21.2167,48.3333,23.77,92,77,2.91,MG,1746854164
354,dul'durga,50.6761,113.5931,23.58,22,76,8.56,RU,1746854165
355,adrar,20.5022,-10.0711,26.46,31,44,6.08,MR,1746854166
356,argo,37.6333,22.7333,19.53,66,0,1.58,GR,1746854167
357,virginia,37.5481,-77.4467,10.99,95,0,0.0,US,1746854168
358,hobyo,5.3505,48.5268,29.41,69,95,6.03,SO,1746854170
359,hafar al-batin,28.4328,45.9708,32.32,12,0,5.14,SA,1746854171
360,kouango,4.9934,19.9619,24.1,65,49,1.36,CF,1746854172
361,tucuma,-0.1833,-50.05,23.25,95,100,1.33,BR,1746854173
362,agat village,13.3886,144.6585,32.52,58,20,5.66,GU,1746854174
